58525,Maria Artishchev-Zapolotsky,4286
100920,Israela Becker,4286
328983,Zohar Dvir,4286
438787,Leah Goldin,4286
438867,Itzhak Goldman,4286
922287,Ami Moyal,4286
1222477,Ron Shmueli,4286
1265167,Yonutz Stanchescu,4286
2603,Moria Abadi,16045
2718,Saul Abarbanel,16045
3540,Shimon Abboud,16045
7311,Felix Abramovich,16045
7316,Sharon Abramovich,16045
11744,Ron Adler,16045
12374,Yehuda Afek,16045
15662,Vered Aharonson,16045
15759,Niv Ahituv,16045
21977,Solange Akselrod,16045
27419,Lior Albuch,16045
28630,S. Alesker,16045
32790,Chamy Allenberg,16045
32792,Chamy Allenberg-Neeman,16045
34106,Anat Almog,16045
34116,Rakefet Ofek Almog,16045
34482,Menachem Alon,16045
34484,Noga Alon,16045
35027,Pinhas Alpert,16045
35289,Idan Alrod,16045
36367,Avri Altman,16045
39973,El-ad David Amir,16045
39995,Noam Amir,16045
40242,Daphna Amit,16045
40250,Nira Amit,16045
40961,Noam Amram,16045
40989,Ofer Amrani,16045
42839,Dov Andelman,16045
42840,Nir Andelman,16045
46466,Eyal Angel,16045
47350,Shoshana Anily,16045
50641,Roel Apfelbaum,16045
51099,Benny Applebaum,16045
51303,Sara Apter,16045
51796,Noa Arad,16045
51797,Nur Arad,16045
51799,Uri Arad,16045
53121,Ami Arbel,16045
53125,Reuven Arbel,16045
53263,Mircea Arcan,16045
54471,Oded Argon,16045
54826,Meir Ariel,16045
54832,Ofer Arieli,16045
55977,Amitai Armon,16045
55978,Aner Armon,16045
55984,Aviad Armoni,16045
57062,Lior Aronovich,16045
57063,Shai Aronovich,16045
58580,Shiri Artstein-Avidan,16045
60525,Uri Ashery,16045
61817,Jackie Assa,16045
61910,Yaniv Assaf,16045
62232,Gil Ast,16045
64899,Niklas Auerbach,16045
66275,Amir Averbuch,16045
66279,Mordechai Averbuch,16045
66444,Shai Avidan,16045
66448,Adi Avidor,16045
66604,Nimrod Aviram,16045
66676,Hillel Avni,16045
66677,Itay Avni,16045
66687,Ran Avnimelech,16045
66749,Hezi Avraham,16045
66764,Nir Avrahami,16045
66856,Arnon Avron,16045
66857,Haim Avron,16045
67367,Anat Axelrod,16045
67693,Amir Ayali,16045
68865,Yossi Azar,16045
69833,Ronit Azran,16045
73178,Eran Bacharach,16045
79909,Yefim Bakman,16045
80695,Eran Balan,16045
85303,Mukul S. Bansal,16045
86264,Leah Bar,16045
86272,Sagy Bar,16045
86338,Dana Bar-On,16045
86347,Shahar Bar-Or,16045
86364,Noa Bar-Yosef,16045
86366,Yossi Bar-Yosef,16045
